TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.google.javascript.rhino.jstype.ArrowType,BRANCH,0.961038961038961,77,74
com.google.javascript.jscomp.CrossModuleMethodMotion,BRANCH,0.18181818181818182,33,6
com.google.javascript.rhino.jstype.ObjectType,BRANCH,0.851063829787234,94,80
com.google.javascript.jscomp.TypeInference,BRANCH,0.22411533420707733,763,171
com.google.javascript.jscomp.JsAst,BRANCH,0.8181818181818182,11,9
com.google.javascript.jscomp.TypedScopeCreator,BRANCH,0.17828418230563003,746,133
org.apache.commons.codec.language.Metaphone,BRANCH,0.9715639810426541,211,204
com.google.javascript.jscomp.CodeGenerator,BRANCH,0.44329896907216493,776,343
org.apache.commons.codec.language.SoundexUtils,BRANCH,1.0,20,20
com.google.javascript.rhino.jstype.PrototypeObjectType,BRANCH,0.8121827411167513,197,161
org.apache.commons.codec.binary.Base64InputStream,BRANCH,1.0,32,32
com.google.javascript.rhino.jstype.RecordType,BRANCH,0.7702702702702703,74,57
org.apache.commons.codec.language.Caverphone,BRANCH,1.0,9,9
com.google.javascript.jscomp.FlowSensitiveInlineVariables,BRANCH,0.030120481927710843,166,5
com.google.javascript.rhino.jstype.RecordTypeBuilder,BRANCH,1.0,8,8
com.google.javascript.jscomp.TypeCheck,BRANCH,0.20199275362318841,1104,223
org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,22,22
com.google.javascript.rhino.jstype.JSType,BRANCH,0.6177285318559557,361,222
com.google.javascript.rhino.jstype.JSType,BRANCH,0.928082191780822,292,271
com.google.javascript.jscomp.TypedScopeCreator,BRANCH,0.0037128712871287127,808,3
com.google.javascript.jscomp.TypedScopeCreator,BRANCH,0.0024875621890547263,804,2
org.apache.commons.codec.language.bm.PhoneticEngine,BRANCH,0.16666666666666666,84,14
org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,35,34
org.apache.commons.codec.binary.Base32,BRANCH,1.0,95,95
org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,35,34
com.google.javascript.rhino.jstype.RecordType,BRANCH,0.7466666666666667,75,56
